score,members,episodes,genre_count,prediction
7.2,389219,12,3,1
6.85,385048,12,2,1
7.84,383458,12,1,0
8.32,367265,11,3,0
7.51,366120,12,2,1
8.7,362362,13,3,0
6.34,354962,13,3,1
7.71,348387,12,3,1
8.43,333943,13,2,0
8.11,324247,12,2,0
7.54,321001,12,3,1
7.46,315403,12,2,1
8.12,315217,12,1,0
7.71,291428,12,2,1
7.64,285685,12,4,1
7.62,275390,12,2,1
8.25,270298,11,3,1
7.27,268015,12,2,1
7.22,258440,12,4,1
7.54,257274,12,2,1
7.11,252965,13,3,1
8.08,251851,13,1,2
7.82,245353,13,2,1
7.31,240828,12,3,1
7.23,237454,12,2,1
7.55,235399,12,2,1
8.62,230941,11,2,0
6.73,227918,12,3,1
7.14,222559,13,2,1
6.69,218822,12,3,1
7.46,214552,12,2,1
6.22,214018,12,4,1
7.83,213760,12,3,1
6.76,206652,12,1,2
6.68,205511,12,3,1
7.38,205484,12,3,1
7.76,204982,12,3,1
7.02,201785,12,2,1
6.36,199128,12,2,1
6.63,197370,12,2,1
6.33,193946,12,3,1
6.48,191317,12,2,1
5.67,177922,12,4,1
7.53,177745,12,2,1
7.35,177487,12,3,1
6.56,175715,15,2,1
7.01,174102,12,2,1
7.65,173097,12,1,2
7.86,172415,13,2,1
7.84,168798,25,2,3
6.3,168156,12,1,2
7.15,167908,12,2,1
6.56,167575,12,2,1
6.2,163006,12,2,1
6.67,162786,12,2,1
6.41,161581,12,4,1
6.4,160480,12,2,1
6.45,160056,12,2,1
7.06,158869,12,2,1
7.36,153330,10,2,1
7.5,153281,13,2,1
7.31,150385,12,3,1
6.6,144380,12,4,1
6.22,143306,12,2,1
7.62,142971,24,1,3
7.08,140546,12,2,1
6.05,137527,12,3,1
7.48,136627,12,4,1
7.43,134902,12,3,1
7.35,134462,12,3,1
7.45,134251,12,2,1
7.11,133827,12,3,1
7.16,133228,12,2,1
6.81,132680,12,2,1
5.05,131117,12,2,2
6.9,130532,12,2,1
7.16,126892,12,3,1
7.15,123621,12,2,1
5.47,120873,12,3,1
6.31,119481,12,2,1
7.64,118608,13,1,2
7.01,116067,12,2,1
6.7,114742,12,3,1
7.11,113454,12,1,2
7.28,113326,24,2,3
7.9,112153,12,3,1
6.94,109470,12,1,2
7.23,105204,12,3,1
7.9,102536,12,2,1
6.7,101566,12,1,2
7.44,99186,12,2,1
6.76,97008,13,3,1
7.62,95004,12,3,1
7.71,94985,13,3,1
6.39,94247,12,4,1
7.37,93585,12,2,1
7.93,92420,24,2,3
7.28,89769,12,3,1
6.67,89221,12,3,1
7.14,89042,12,2,1
7.21,88787,12,1,2
6.42,82521,12,5,1
5.67,82071,13,1,2
6.26,81122,12,2,1
7.56,78941,12,1,2
7.43,77708,25,4,3
6.71,77672,12,2,1
7.25,77139,12,2,1
7.51,75186,13,2,1
6.89,74900,12,1,2
6.42,74311,12,2,1
7.65,72030,12,4,1
7.1,71868,4,2,2
7.26,71392,12,2,1
7.48,69109,12,1,2
7.88,67753,12,1,2
7.92,66309,12,1,2
7.16,65243,24,1,3
8.09,64494,13,1,2
6.77,63012,12,2,1
6.68,60582,12,2,1
6.41,59990,12,2,1
6.89,58930,13,1,2
7.15,57143,12,1,2
6.55,53287,12,2,1
6.68,52918,11,3,1
6.83,52839,12,2,1
6.43,51637,12,1,2
7.58,51584,8,2,1
7.15,49184,12,2,1
6.61,48984,13,2,1
6.52,48631,12,3,1
6.33,48431,10,3,1
6.04,47493,12,3,1
6.81,45398,12,2,1
6.09,42496,12,1,2
6.85,42106,13,1,2
6.86,41321,12,2,1
7.34,41011,12,2,1
5.63,39975,12,2,2
7.55,37332,12,1,2
7.45,37160,12,2,1
8.24,35525,13,1,2
4.67,35057,3,4,1
7.62,28206,13,1,2
5.81,27815,12,2,2
7.58,27788,11,4,1
7.08,25667,13,1,2
5.51,23433,12,2,2
6.17,22016,3,4,1
5.25,18974,12,-1,2
6.15,18357,12,4,1
7.69,17775,12,1,2
7.31,16670,12,-1,2
6.53,16509,12,2,1
6.71,16413,12,2,1
7.36,15895,12,-1,2
6.17,13848,12,2,2
6.81,13636,12,1,2
6.08,12456,12,4,1
6.86,12432,13,1,2
7.05,11582,12,1,2
5.72,11431,12,2,2
6.93,11324,12,-1,2
5.73,10137,12,1,2
6.56,9306,12,1,2
6.98,8598,24,3,3
5.84,8010,13,3,1
5.58,7346,13,1,2
6.29,6260,12,-1,2
6.71,5614,12,1,2
5.67,5221,12,-1,2
6.74,4936,12,1,2
5.12,4811,6,1,2
6.6,3920,13,1,2
6.79,3409,25,1,3
5.42,3390,12,2,2
5.49,2823,5,1,2
5.26,1998,13,2,2
6.07,1280,96,-1,3
5.89,1237,12,2,2
5.86,1230,12,-1,2
6.73,1214,13,1,2
5.74,846,15,1,2
5.5,462,5,2,2
8.26,978700,12,3,0
8.5,750319,12,3,0
8.09,635311,8,2,0
8.28,605353,12,3,0
8.42,498353,12,4,0
8.35,497983,11,3,0
8.6,492981,24,4,0
7.95,470447,13,2,0
7.8,448942,12,3,0
8.57,448380,13,1,0
7.58,425204,12,2,0
7.69,422851,24,3,3
7.74,395225,13,1,0
8.08,389001,21,1,3
7.87,305675,12,2,1
8.21,300209,12,1,0
7.84,297328,25,4,3
7.56,282929,14,1,2
8.12,281379,12,2,1
7.53,280881,13,3,1
8.74,267285,13,2,0
6.68,266929,13,5,1
6.99,252603,12,1,2
8.67,240178,14,3,0
8.11,238938,25,4,3
5.73,234191,4,4,1
6.85,230606,12,3,1
7.43,217359,12,2,1
6.82,216082,12,3,1
7.27,208732,12,3,1
7.52,201945,12,1,2
6.48,198043,12,3,1
7.04,197106,12,2,1
7.43,191354,12,3,1
7.84,190883,12,2,1
6.45,189182,12,2,1
7.33,187863,12,1,2
6.61,186030,13,2,1
6.89,185389,12,3,1
7.13,184302,12,1,2
7.29,184119,12,3,1
7.62,183631,13,4,1
7.8,183182,12,2,1
7.32,179650,12,2,1
6.87,178075,12,4,1
7.37,174144,12,3,1
7.17,171329,12,2,1
7.43,171272,12,2,1
6.37,169076,12,4,1
7.09,168509,12,2,1
6.55,166772,12,3,1
6.42,153036,10,2,1
7.04,145026,13,4,1
6.77,143846,12,3,1
7.04,140220,13,2,1
6.76,139821,12,2,1
7.43,138457,24,2,3
7.46,138261,11,3,1
6.41,136726,12,3,1
7.56,135959,27,2,3
8.01,133820,12,4,1
6.45,133688,12,3,1
6.92,132422,12,3,1
7.19,129361,12,1,2
7.69,128975,12,4,1
7.04,126856,13,3,1
7.38,126208,12,2,1
6.24,125001,12,3,1
7.61,124861,12,3,1
6.07,124497,12,4,1
6.75,124213,12,1,2
7.56,123970,12,2,1
7.76,123376,12,1,2
7.07,123040,12,2,1
6.57,121899,12,3,1
7.33,121878,10,1,2
